Name,Platform,Publisher,Developer,Genre,Rating,Year_of_Release,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
MAPLUS: Portable Navi,PSP,Edia,,Misc,,2006,,,,,0.07
Rayman Arena,XB,Unknown,Ubisoft,Racing,E,N/A,50,7,tbd,,0.07
Order Up!!,PS3,Funbox Media,,Action,,2011,,,,,0.07
Reader Rabbit 1st Grade,Wii,Graffiti,Graffiti Entertainment,Misc,E,2010,,,tbd,,0.07
The King of Fighters 02/03,PS2,SNK,SNK Playmore,Fighting,T,2005,73,28,8.8,14,0.07
Port Royale 3,X360,Kalypso Media,Kalypso,Simulation,T,N/A,56,11,4.5,6,0.07
Army Men: Green Rogue,PS,3DO,,Action,,2001,,,,,0.07
Centipede / Breakout / Warlords,GBA,Zoo Digital Publishing,Epicenter Interactive,Misc,E,2005,,,tbd,,0.07
Lucian Bee's: Justice Yellow / Evil Violet,PS2,5pb,,Adventure,,2010,,,,,0.07
Sly 2: Band of Thieves,PS3,Sony Computer Entertainment,Sanzaru Games,Platform,E,2010,,,7.4,23,0.07
Armored Core: Nine Breaker,PS2,505 Games,From Software,Simulation,T,2004,57,25,8.2,5,0.07
Doraemon: Nobita no Shin Makai Daibouken DS,DS,Sega,,Role-Playing,,2007,,,,,0.07
Terraria,PS4,505 Games,Engine Software,Action,T,2014,83,4,7.9,47,0.07
Cabela's Big Game Hunter 2005 Adventures,GC,Activision,MagicWand,Sports,T,2004,,,8.8,9,0.07
Worms 3D,GC,Sega,Team 17,Strategy,T,2003,69,23,7.6,19,0.07
BlazBlue: Chrono Phantasma Extend,XOne,PQube,Arc System Works,Action,T,2015,,,6.3,4,0.07
TRON: Evolution,PC,Disney Interactive Studios,Propaganda Games,Action,T,2010,57,11,6,25,0.07
Pac-Man and the Ghostly Adventures 2,WiiU,Namco Bandai Games,Vicious Cycle,Adventure,E10+,2014,,,7,9,0.07
Dark Souls,PC,Namco Bandai Games,,Role-Playing,,2012,,,,,0.07
National Geographic Challenge!,X360,Unknown,,Misc,,N/A,,,,,0.07
Gambler Densetsu Tetsuya,PS2,Athena,,Adventure,,2001,,,,,0.07
The Guided Fate Paradox,PS3,Nippon Ichi Software,Nippon Ichi Software,Role-Playing,T,2013,74,27,7.8,66,0.07
Mayhem 3D,X360,Evolved Games,Zoo Games,Racing,E10+,2011,47,4,8.6,9,0.07
Bleach: Hanatareshi Yabou,PS2,Sony Computer Entertainment,,Role-Playing,,2006,,,,,0.07
Karaoke Revolution Party,XB,Konami Digital Entertainment,Harmonix Music Systems,Misc,E10+,2005,80,24,tbd,,0.07
Alex Rider: Stormbreaker,DS,THQ,Altron,Action,T,N/A,48,11,6.1,10,0.07
Yoake Yori Ruriiro na: Brighter than Dawning Blue,PS2,Aria,,Adventure,,2006,,,,,0.07
Carol Vorderman's Sudoku,PSP,Xplosiv,Empire Interactive,Puzzle,E,2006,72,18,tbd,,0.07
Pandemonium 2,PS,BMG Interactive Entertainment,,Platform,,1997,,,,,0.07
Gundam Try Age SP,3DS,Namco Bandai Games,,Strategy,,2014,,,,,0.07
WipEout HD Fury,PS3,Sony Computer Entertainment,Studio Liverpool,Racing,E10+,2009,89,15,8.4,115,0.07
Fallout: Brotherhood of Steel,PS2,Avalon Interactive,Interplay,Role-Playing,M,2004,64,31,4.1,51,0.07
Dreamer Series: Pop Star,DS,Tivola,Dreamcatcher,Misc,E,2009,,,tbd,,0.07
Penguins of Madagascar,3DS,Namco Bandai Games,Little Orbit,Action,E,2014,51,4,tbd,,0.07
12-Sai. Honto no Kimochi,3DS,Happinet,,Adventure,,2014,,,,,0.07
Parlor! Mini 2,SNES,Nippon Telenet,,Misc,,1996,,,,,0.07
"Flower, Sun, and Rain",DS,Rising Star Games,h.a.n.d. Inc.,Adventure,T,2008,54,37,7.1,15,0.07
Gunstar Super Heroes,GBA,Sega,Treasure,Shooter,E10+,2005,83,31,8.5,13,0.07
C: The Contra Adventure,PS,Konami Digital Entertainment,,Shooter,,1998,,,,,0.07
Interactive Storybook DS Series 1,DS,Tommo,Starfish SD,Misc,E,2007,,,tbd,,0.07
Frogger Advance: The Great Quest,GBA,Konami Digital Entertainment,KCEA,Action,E,2002,55,9,tbd,,0.07
Cities XL 2012,PC,Focus Home Interactive,Monte Cristo Multimedia,Strategy,E,2011,61,18,5.6,95,0.07
Worms Forts: Under Siege,XB,Sega,Team 17,Strategy,T,2004,67,15,8,6,0.07
Dream C Club,X360,D3Publisher,,Simulation,,2009,,,,,0.07
Pocky & Rocky with Becky,GBA,Altron,,Shooter,,2001,,,,,0.07
The Tale of Despereaux,DS,Brash Entertainment,Brash Entertainment,Platform,E,2008,75,5,tbd,,0.07
Jam Sessions 2,DS,Ubisoft,Plato,Misc,E10+,2009,66,7,tbd,,0.07
Full Spectrum Warrior: Ten Hammers,PS2,THQ,Pandemic Studios,Strategy,M,2006,71,26,8,5,0.07
Streets of Rage 3,GEN,Sega,,Action,,1993,,,,,0.07
Just Dance: Disney Party 2,X360,Ubisoft,Ubisoft,Action,E,2015,,,tbd,,0.07
Natural Doctrine,PSV,Nippon Ichi Software,Kadokawa,Role-Playing,M,2014,60,7,7.5,29,0.07
Hasbro Family Game Night Fun Pack,X360,Electronic Arts,Electronic Arts,Misc,E,2011,,,tbd,,0.07
Pro Yaky? Spirits 4,PS3,Konami Digital Entertainment,,Sports,,2007,,,,,0.07
Prince of Persia: The Fallen King,DS,Ubisoft,Ubisoft,Action,E,2008,64,24,6,9,0.07
My Horse & Me: Riding for Gold,DS,Atari,,Sports,,2008,,,,,0.07
Speed Racer,PS,Tomy Corporation,,Racing,,1996,,,,,0.07
NHL Hitz Pro,XB,Midway Games,Next Level Games,Sports,E,2003,81,23,8.8,12,0.07
Cardfight!! Vanguard: Lock On Victory!!,3DS,FuRyu,,Misc,,2014,,,,,0.07
Broken Sword 5: The Serpent's Curse,PS4,Revolution Software,Revolution Software,Adventure,T,2015,72,14,7.2,23,0.07
Alan Wake,PC,Nordic Games,Remedy Entertainment,Action,T,2012,83,30,8,1473,0.06
Atelier Meruru: Alchemist of Arland 3,PSV,Gust,,Role-Playing,,2013,,,,,0.06
Hot Wheels: Burnin' Rubber,GBA,THQ,Altron,Racing,E,2001,66,5,tbd,,0.06
Lost in Blue 2,DS,Konami Digital Entertainment,Matrix Software,Adventure,E10+,2007,58,29,tbd,,0.06
Ojyousama Express,PS,Media Works,,Strategy,,1998,,,,,0.06
Risen 3: Titan Lords,X360,Deep Silver,Piranha Bytes,Role-Playing,M,2014,44,8,4.4,69,0.06
Steambot Chronicles: Battle Tournament,PSP,Irem Software Engineering,Irem,Fighting,E10+,2008,54,14,6.3,8,0.06
Wings of War,XB,Take-Two Interactive,Silver Wish Games,Simulation,T,2004,62,29,5,5,0.06
187: Ride or Die,XB,Ubisoft,Ubisoft Paris,Racing,M,2005,51,40,6.9,8,0.06
RPG Maker 3,PS2,Enterbrain,Runtime,Role-Playing,E10+,2004,69,16,7.9,14,0.06
Zatch Bell! Mamodo Battles,GC,Namco Bandai Games,,Fighting,,2005,,,,,0.06
Genkai Tokki Monster Monpiece,PSV,Idea Factory,,Strategy,,2013,,,,,0.06
Desert Strike Advance,GBA,Electronic Arts,BudCat,Simulation,E,2002,66,6,tbd,,0.06
Kabuki Warriors,XB,Genki,Light Weight,Action,M,2001,32,15,2.5,12,0.06
Discworld,PS,Psygnosis,,Adventure,,1994,,,,,0.06
Motion Explosion!,X360,505 Games,,Misc,,2011,,,,,0.06
World Poker Tour,XB,Take-Two Interactive,2K Sports,Misc,T,2005,63,17,7.8,4,0.06
Age of Empires III: The Asian Dynasties,PC,Microsoft Game Studios,Big Huge Games,Strategy,T,2007,81,19,8.5,71,0.06
Elite Forces: Unit 77,DS,Deep Silver,Gammick Entertainment,Strategy,T,2009,61,23,tbd,,0.06
IL-2 Sturmovik: Birds of Prey,DS,505 Games,DiP Interactive,Simulation,E10+,2009,41,4,2.4,5,0.06
Moshi Monsters: Katsuma Unleashed,3DS,Activision,Black Lantern Studios,Action,E,2013,,,tbd,,0.06
Pirates: The Legend of Black Kat,XB,Electronic Arts,Westwood Studios,Adventure,T,2002,74,16,tbd,,0.06
July,DC,Fortyfive,,Adventure,,1998,,,,,0.06
Crime Lab: Body of Evidence,DS,City Interactive,City Interactive,Adventure,T,2010,53,13,tbd,,0.06
Disney's Chicken Little: Ace In Action,DS,Disney Interactive Studios,DC Studios,Shooter,E,2006,66,13,tbd,,0.06
ESPN Winter X-Games: Snowboarding 2002,GBA,Konami Digital Entertainment,,Sports,,2000,,,,,0.06
Bleach: Versus Crusade,Wii,Sega,,Fighting,,2008,,,,,0.06
Kanon,DC,NEC Interchannel,,Adventure,,2000,,,,,0.06
NanoBreaker,PS2,Konami Digital Entertainment,KCET,Action,M,2005,51,38,6.7,11,0.06
You Don't Know Jack,DS,THQ,Jellyvision,Misc,T,2011,,,tbd,,0.06
Bionicle,XB,Electronic Arts,Argonaut Games,Action,E,2003,49,5,1.5,4,0.06
GRID 2,PC,Codemasters,Codemasters,Racing,E,2013,80,17,5.7,571,0.06
Cabela's Trophy Bucks,Wii,Activision Value,FUN Labs,Sports,T,2008,,,6,5,0.06
Cosmos Chaos!,DS,Mentor Interactive,,Misc,,2010,,,,,0.06
Guitar Freaks 3rdMIX & DrumMania 2ndMIX,PS2,Konami Digital Entertainment,,Simulation,,2000,,,,,0.06
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,Namco Bandai Games,,Misc,,2015,,,,,0.06
Criminal Girls: Invite Only,PSV,Nippon Ichi Software,"Image Epoch, Imageepoch",Role-Playing,M,2013,55,31,6.7,37,0.06
Miami Vice: The Game,PSP,Activision,Rebellion,Shooter,M,2006,63,36,7,12,0.06
Samurai Warriors Chronicles 3,PSV,Tecmo Koei,Omega Force,Action,T,2014,70,9,7.9,14,0.06
BMX XXX,GC,Acclaim Entertainment,"Z-Axis, Ltd.",Sports,M,2002,60,15,5,7,0.06
Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,Capcom,Klein Computer Entertainment,Action,E,2003,63,8,tbd,,0.06
Bullet Girls,PSV,D3Publisher,,Action,,2014,,,,,0.06
One Piece: Unlimited World Red,WiiU,Namco Bandai Games,Ganbarion,Action,T,2014,66,11,7.8,43,0.06
Aggressive Inline,XB,Acclaim Entertainment,"Z-Axis, Ltd.",Sports,T,2002,85,20,7.7,7,0.06
Ikki Tousen: Xross Impact,PSP,Marvelous Interactive,,Action,,2010,,,,,0.06
Smart Boy's Toys Club,DS,505 Games,Starfish,Misc,E,2008,,,tbd,,0.06
Insecticide,DS,Gamecock,Creat Studios,Action,E10+,2008,55,23,7,5,0.06
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,Imax,,Misc,,1993,,,,,0.06
XGRA: Extreme G Racing Association,PS2,Acclaim Entertainment,Acclaim Studios Cheltenham,Racing,T,2003,68,23,8.6,8,0.06
Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,Namco Bandai Games,,Action,,2007,,,,,0.06
Family Trainer: Treasure Adventure,Wii,Namco Bandai Games,Namco Bandai Games,Sports,,2010,,,,,0.06
Pop'n Music Portable 2,PSP,Konami Digital Entertainment,,Misc,,2011,,,,,0.06
Kamen Rider: Dragon Knight,Wii,D3Publisher,Eighting,Fighting,T,2009,,,tbd,,0.06
Darksiders II,XOne,Nordic Games,,Action,,2015,,,,,0.06
Ys vs. Sora no Kiseki: Alternative Saga,PSP,Falcom Corporation,,Fighting,,2010,,,,,0.06
Naruto: Ultimate Ninja Heroes (JP sales),PSP,Namco Bandai Games,,Fighting,,2006,,,,,0.06
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,Marvelous Interactive,,Adventure,,2008,,,,,0.06
Ray Tracers,PS,Sony Computer Entertainment,,Racing,,1997,,,,,0.06
Mario vs. Donkey Kong: Tipping Stars,3DS,Nintendo,"Nintendo, Nintendo Software Technology",Puzzle,E,2015,70,15,7.5,48,0.06
Tournament of Legends,Wii,Sega,High Voltage Software,Fighting,T,2010,45,38,6.9,11,0.06
Frogger: Helmet Chaos,DS,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,Platform,E,2005,69,10,tbd,,0.06
Escape from Bug Island,Wii,Eidos Interactive,Spike,Action,M,2006,37,13,5,25,0.06
Nicola Kanshuu: Model * Oshare Audition,DS,Alchemist,,Misc,,2010,,,,,0.06
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,D3Publisher,,Misc,,2009,,,,,0.06
Cold Stone Creamery: Scoop It Up,Wii,Zoo Games,Zoo Games,Misc,E,2009,,,tbd,,0.06
My Pet Shop,DS,Square Enix,Taito Corporation,Simulation,E,2008,60,10,tbd,,0.06
James Bond 007: Blood Stone,DS,Activision,n-Space,Shooter,T,2010,70,10,tbd,,0.06
Kururin Paradise,GBA,Unknown,,Puzzle,,2002,,,,,0.06
Gradius Collection,PSP,Konami Digital Entertainment,M2,Shooter,E,2006,76,44,8.5,4,0.06
Kiniro no Corda 2,PS2,Tecmo Koei,,Role-Playing,,2007,,,,,0.06
Dynasty Warriors Vs,3DS,Ackkstudios,Koei,Action,,2012,,,,,0.06
Fist of the North Star: Ken's Rage 2,X360,Tecmo Koei,Koei,Fighting,M,2012,55,18,7.1,20,0.06
Gallop Racer 2004,PS2,Zoo Digital Publishing,Tecmo,Sports,E,2004,70,15,8.7,12,0.06
Sunrise Eiyuutan R,PS2,Sunrise Interactive,,Role-Playing,,2000,,,,,0.06
Rayman: Hoodlum's Revenge,GBA,Ubisoft,Backbone Entertainment,Platform,E,2005,61,12,tbd,,0.06
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,Namco Bandai Games,Bec,Shooter,T,2004,45,16,7.8,10,0.06
F1 2001,XB,Electronic Arts,EA Sports,Racing,E,2001,83,11,5.5,8,0.06
Utawarerumono: Futari no Hakuoro,PSV,Aqua Plus,,Misc,,2016,,,,,0.06
Fishing Master (jp sales),Wii,Konami Digital Entertainment,,Sports,,2007,,,,,0.06
OK! Puzzle Stars,DS,Ubisoft,,Puzzle,,2010,,,,,0.06
Zill O'll Infinite Plus,PSP,Tecmo Koei,,Role-Playing,,2009,,,,,0.06
Tonka Rescue Patrol,GC,TDK Mediactive,,Action,,2003,,,,,0.06
GunGriffon II,SAT,ESP,,Simulation,,1998,,,,,0.06
Crimson Gem Saga,PSP,Sega,"IronNos Co.,Ltd.",Role-Playing,T,2008,78,20,7.5,30,0.06
Monster Tale,DS,Majesco Entertainment,DreamRift,Platform,E,2011,79,15,8,15,0.06
Legend of the Dragon,Wii,Game Factory,Neko Entertainment,Fighting,T,2007,37,14,4.8,5,0.06
Cel Damage,GC,Electronic Arts,Pseudo Interactive,Racing,T,2002,67,12,6.8,11,0.06
Backyard Hockey,DS,Atari,Mistic Software,Sports,E,2007,,,tbd,,0.06
Famicom Mini: Balloon Fight,GBA,Nintendo,,Action,,2004,,,,,0.06
Steins;Gate: Senkei Kousoku no Phonogram,PS3,5pb,,Adventure,,2013,,,,,0.06
Seaman 2: Peking Genjin Ikusei Kit,PS2,Sega,,Simulation,,2007,,,,,0.06
Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,DS,Namco Bandai Games,,Action,,2008,,,,,0.06
Sprung - A Game Where Everyone Scores,DS,Ubisoft,,Adventure,,2004,,,,,0.06
Mirror's Edge Catalyst,PC,Electronic Arts,EA DICE,Platform,T,2016,74,24,4.4,606,0.06
The Pinball of the Dead,GBA,Sega,Sega,Misc,T,2002,79,20,tbd,,0.06
Growlanser IV: Over Reloaded,PSP,Atlus,,Role-Playing,,2011,,,,,0.06
Arc the Lad: End of Darkness,PS2,Sony Computer Entertainment,Cattle Call,Role-Playing,T,2004,59,24,4.2,10,0.06
The King of Route 66,PS2,Sega,Sega,Racing,T,2003,57,21,tbd,,0.06
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,Ubisoft,Ubisoft,Action,T,2004,68,19,6.2,6,0.06
Western Riding Academy,DS,Destineer,Snapdragon,Simulation,E,2010,,,tbd,,0.06
Bubble Bobble also featuring Rainbow Islands,PS,Acclaim Entertainment,,Puzzle,,1995,,,,,0.06
Intellivision Lives!,GC,Crave Entertainment,,Misc,,2004,,,,,0.06
Tokobot,PSP,Take-Two Interactive,Tecmo,Platform,E,2005,72,30,7.3,8,0.06
Monster Madness: Grave Danger,PS3,SouthPeak Games,Psyonix,Shooter,T,2008,55,25,tbd,,0.06
Panzer Tactics,DS,10TACLE Studios,,Strategy,,2007,,,,,0.06
Pro Yaky? Spirits 2013,PSV,Konami Digital Entertainment,,Sports,,2013,,,,,0.06
Robotica,SAT,Sega,,Shooter,,1994,,,,,0.06
Super Robot Wars OG: The Moon Dwellers,PS3,Namco Bandai Games,,Misc,,2016,,,,,0.06
Deathrow: Underground Team Combat,XB,Ubisoft,,Sports,,2002,,,,,0.06
The Amazing Spider-Man 2 (2014),3DS,Activision,,Action,,2014,,,,,0.06
Paws & Claws: Marine Rescue,DS,THQ,,Simulation,,2011,,,,,0.06
Land of the Dead: Road to Fiddler's Green,XB,Groove Games,Brainbox Games,Shooter,M,2005,32,9,5.8,10,0.06
Odin Sphere: Leifthrasir,PS3,Nippon Ichi Software,Vanillaware,Role-Playing,T,2016,,,7,29,0.06
R-Types,PS,Virgin Interactive,,Shooter,,1998,,,,,0.06
Star Fighter,PS,Telstar,,Shooter,,1995,,,,,0.06
Game Center CX: 3-Choume no Arino,3DS,Namco Bandai Games,,Action,,2014,,,,,0.06
Assetto Corsa,PS4,505 Games,Kunos Simulazioni,Racing,E,2016,73,35,6.2,70,0.06
NHL 2K9,Wii,Take-Two Interactive,Visual Concepts,Sports,E10+,2008,65,11,5.4,19,0.06
Kuukan * Zukei: Hirameki Training - KuuTore,DS,Benesse,,Misc,,2008,,,,,0.06
Osu! Tatakae! Ouendan,DS,Nintendo,,Misc,,2005,,,,,0.06
Dissidia: Final Fantasy Universal Tuning,PSP,Square Enix,,Fighting,,2009,,,,,0.06
Fast Food Panic,Wii,Nobilis,MBA International,Simulation,E,2009,57,6,tbd,,0.06
"Warhammer 40,000: Squad Command",DS,THQ,THQ,Strategy,T,2007,57,21,7.9,16,0.06
Johnny Test,DS,505 Games,"505 Games, Sarbakan Inc.",Platform,E,2011,,,0.9,7,0.06
One Piece: Burning Blood,XOne,Namco Bandai Games,Spike Chunsoft,Fighting,T,2016,60,10,5.8,12,0.06
TrackMania Turbo,XOne,Ubisoft,Nadeo,Action,E,2016,76,12,7.7,27,0.06
Pro Evolution Soccer 2015,PC,Konami Digital Entertainment,Konami,Sports,,2014,82,8,5.8,173,0.06
Jewels of the Ages,DS,City Interactive,City Interactive,Puzzle,E,2011,,,tbd,,0.06
Meitantei Conan: Aoki Houseki no Rinbukyoku,DS,Namco Bandai Games,,Adventure,,2011,,,,,0.06
The Legend of Heroes: Trails in the Sky Second Chapter,PSP,Falcom Corporation,,Role-Playing,,2007,,,,,0.06
Zero Escape: Zero Time Dilemma,PSV,Aksys Games,"Spike Chunsoft, Chime",Adventure,M,2016,83,31,8.3,116,0.06
Bionicle Heroes,DS,Eidos Interactive,Amaze Entertainment,Shooter,T,2006,72,11,6.4,15,0.06
Mystic Heroes,PS2,Tecmo Koei,Koei,Action,T,2002,67,7,8.6,14,0.06
Tron 2.0: Killer App,GBA,Disney Interactive Studios,Digital Eclipse,Action,E,2004,68,16,tbd,,0.06
Jurassic Park III: Park Builder,GBA,Konami Digital Entertainment,Konami,Simulation,E,2001,65,5,8,5,0.06
Unchained Blades ,PSP,FuRyu,FuRyu,Role-Playing,T,2011,61,8,7.5,15,0.06
NHL Legacy,X360,Electronic Arts,,Action,,2015,,,,,0.06
Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,Namco Bandai Games,,Fighting,,2011,,,,,0.06
Santa Claus Is Comin' to Town!,DS,Crave Entertainment,,Puzzle,,2011,,,,,0.06
Disney Infinity 2.0: Marvel Super Heroes,PSV,Disney Interactive Studios,,Action,,2015,,,,,0.06
Octomania,Wii,Midas Interactive Entertainment,Compile Heart,Puzzle,E,2007,66,9,tbd,,0.06
Godzilla (2014),PS3,Namco Bandai Games,,Action,,2014,,,,,0.06
Code Geass: Hangyaku no Lelouch - Lost Colors,PS2,Namco Bandai Games,,Adventure,,2008,,,,,0.06
Showtime Championship Boxing,Wii,Zoo Digital Publishing,Nikitova Games,Fighting,E10+,2007,35,7,4.7,10,0.06
LEGO Bionicle,GBA,LEGO Media,Saffire,Platform,E,2001,,,tbd,,0.06
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,Namco Bandai Games,,Action,,2016,,,,,0.06
Power Shovel,PS,JVC,,Action,,2000,,,,,0.06
Bomberman Land,PSP,Hudson Entertainment,Racjin,Misc,E,2007,55,14,7.8,4,0.06
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,Pack-In-Video,,Simulation,,1995,,,,,0.06
My Pet Chimp,DS,505 Games,505 Games,Simulation,E,2010,,,tbd,,0.06
Generator Rex: Agent of Providence,X360,Activision,Virtuos,Action,E10+,2011,,,4,6,0.06
Chrysler Classic Racing,Wii,Zoo Games,Extra Mile Studios,Racing,E,2008,40,4,tbd,,0.06
Spy Games: Elevator Mission,Wii,Tommo,Tommo,Shooter,T,2007,,,tbd,,0.06
The Book of Unwritten Tales: The Critter Chronicles,PC,Crimson Cow,,Action,,2011,,,,,0.06
Steins;Gate,PS3,PQube,Nitro+,Adventure,M,2012,83,8,8.7,51,0.06
Nights of Azure,PS4,Tecmo Koei,Gust,Action,T,2015,67,40,7.6,71,0.06
Strike Force Bowling,GC,Crave Entertainment,Crave,Sports,E,2005,47,4,tbd,,0.06
Age of Empires Online,PC,Microsoft Game Studios,Gas Powered Games,Strategy,E10+,2011,70,44,5.6,186,0.06
Earth Defense Force 2017 Portable,PSV,D3Publisher,Sandlot,Action,T,2012,68,36,7.9,31,0.06
Atelier Iris 2: The Azoth Of Destiny,PS2,Tecmo Koei,Gust,Role-Playing,E10+,2005,68,34,7.8,14,0.06
Spy Fox in Dry Cereal,Wii,Majesco Entertainment,"Humongous Entertainment, Mistic Software",Adventure,E,2008,,,tbd,,0.06
There,PS,Infogrames,,Simulation,,2002,,,,,0.06
Tokimeki no Houkago,PS,Konami Digital Entertainment,,Misc,,1998,,,,,0.06
Championship Surfer,PS,Mattel Interactive,Krome Studios,Sports,E,2000,57,5,tbd,,0.06
Zumba Fitness Core,Wii,505 Games,Zoe Mode,Misc,E10+,2012,,,tbd,,0.06
Lego Batman 3: Beyond Gotham,PC,Warner Bros. Interactive Entertainment,TT Games,Action,E10+,2014,,,6.8,21,0.06
Di-Gata Defenders,DS,Game Factory,Mystic Software,Role-Playing,E,2008,,,tbd,,0.06
Monster Garage,XB,Activision Value,Activision Value,Strategy,T,2004,38,5,tbd,,0.06
ZhuZhu Pets: Quest for Zhu,DS,Activision,,Misc,,2011,,,tbd,,0.06
Akai Katana Shin,X360,Cave,,Shooter,,2011,,,,,0.06
A-Train: City Simulator,3DS,ArtDink,Artdink,Simulation,E10+,2014,65,4,tbd,,0.06
Tecmo Classic Arcade,XB,Microsoft Game Studios,Tecmo,Misc,E,2005,55,26,tbd,,0.06
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Sega,,Misc,,2005,,,,,0.06
Mad Maestro!,PS2,Eidos Interactive,,Misc,,2001,,,,,0.06
Densha De Go! 3 Tsuukinhen,PS2,Taito,,Simulation,,2001,,,,,0.06
Biker Mice From Mars,PS2,Game Factory,Creat Studios,Racing,E10+,2006,27,4,tbd,,0.06
From The Abyss,DS,Nobilis,Sonic Powered,Role-Playing,E,2008,59,9,8,5,0.06
Jewel Quest IV: Heritage,DS,iWin,Engine Software,Puzzle,E,2011,,,tbd,,0.06
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,PSP,Daito,,Misc,,2006,,,,,0.06
Sudoku Ball Detective,DS,Playlogic Game Factory,Whitebear,Puzzle,E10+,2009,54,6,tbd,,0.06
The LEGO Movie Videogame,PC,Warner Bros. Interactive Entertainment,TT Games,Action,E10+,2014,68,7,6.8,33,0.06
DuckTales: Remastered,WiiU,Capcom,WayForward,Action,E,2013,76,10,7.9,100,0.06
Giants: Citizen Kabuto,PS2,Interplay,Digital Mayhem,Shooter,T,2001,79,15,6.9,8,0.06
Steins;Gate,X360,5pb,,Adventure,,2009,,,,,0.06
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,Namco Bandai Games,,Adventure,,2014,,,,,0.06
Star Wars Knights of the Old Republic II: The Sith Lords,PC,LucasArts,,Role-Playing,,2005,,,,,0.06
MX vs. ATV Supercross,X360,Nordic Games,Nordic Games Publishing,Racing,E,2014,48,10,4.8,14,0.06
Grand Kingdom,PSV,Nippon Ichi Software,Spike Chunsoft,Role-Playing,T,2015,76,11,8.8,33,0.06
Risen 3: Titan Lords,PS4,Deep Silver,,Role-Playing,,2015,,,,,0.06
Guilty Gear XX Accent Core Plus,PS2,PQube,Arc System Works,Fighting,T,2008,,,8,7,0.06
LEGO Batman: The Videogame,PC,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,2008,80,15,7.8,61,0.06
Alone in the Dark,PS2,Atari,Hydravision,Adventure,M,2008,47,10,5.4,24,0.06
Muppets Party Cruise,PS2,TDK Mediactive,Mass Media,Misc,E,2003,61,11,8,6,0.06
Higurashi Daybreak Portable,PSP,Alchemist,,Adventure,,2008,,,,,0.06
Shonen Jump's One Piece: Grand Battle,GC,Namco Bandai Games,,Fighting,,2005,,,,,0.06
Transformer: Rise of the Dark Spark,WiiU,Activision,,Action,,2014,,,,,0.06
Barbie Horse Adventures: Wild Horse Rescue,XB,Vivendi Games,,Sports,,2003,,,,,0.06
Blast Lacrosse,PS,Acclaim Entertainment,,Sports,,2001,,,,,0.06
Kikou Heidan J-Phoenix,PS2,Takara,,Action,,2001,,,,,0.06
Backyard NFL Football '10,PS2,Atari,,Sports,,2009,,,,,0.06
DreamWorks Super Star Kartz,X360,Activision,Activision,Racing,E,2011,,,tbd,,0.06
Earth Defense Force 4.1: The Shadow of New Despair,PS4,Xseed Games,Sandlot,Shooter,M,2015,64,40,7.9,51,0.06
Legend of Kay,DS,JoWood Productions,Firehazard Studio,Action,E,2010,,,tbd,,0.06
Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,Konami Digital Entertainment,,Action,,2005,,,,,0.06
Bubble Bobble: Old & New,GBA,Empire Interactive,,Puzzle,,2002,,,,,0.06
Speed,Wii,Unknown,Zoo Games,Racing,E,2010,,,tbd,,0.06
Naruto Shippuden: Gekito Ninja Taisen! Special,Wii,Takara Tomy,,Fighting,,2010,,,,,0.06
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,Sega,,Action,,2012,,,,,0.06
Kekkon: Marriage,SAT,Shogakukan,,Adventure,,1995,,,,,0.06
KimiKiss,PS2,Enterbrain,,Adventure,,2006,,,,,0.06
Nicola Kanshuu: Model * Oshare Audition 2,3DS,Alchemist,,Action,,2011,,,,,0.06
Cold Fear,XB,Ubisoft,Darkworks,Action,M,2005,71,41,7.6,20,0.06
Imagine: Gymnast,DS,Ubisoft,Ubisoft,Simulation,E,2008,,,tbd,,0.06
Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,PSP,D3Publisher,,Misc,,2010,,,,,0.06
Challenge Me: Brain Puzzles,DS,Oxygen Interactive,Oxygen Interactive,Puzzle,E,2009,65,6,tbd,,0.06
